Institution Name,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Requirements: Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Balance Range (From),Balance Range (To),APR - 2nd Tier,Balance Range (From) - 2nd Tier,Balance Range (To) - 2nd Tier,APR - 3rd Tier,Balance Range (From) - 3rd Tier,Balance Range (To) - 3rd Tier,APR - 4th Tier,Balance Range (From) - 4th Tier,Balance Range (To) - 4th Tier,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Late Fees?,Late Fee Types,Amount (Dollars) - Late Payment Fee,Late Fee Six Month Billing Cycle,Late Fee Policy Details,Fee Varies?,Minimum,Maximum,Fee Explanation,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?,Minimum,Maximum,Fee Explanation,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Fee Varies?,Minimum,Maximum,Fee Explanation,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
CREDIT FIRST NATIONAL ASSOCIATION,Private Label Credit Card,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),No,,,,,,,,,,,,,,,F,,,,,,,,No,,,,,,,,,No,,,,,,,,,,No,,,,,,,,Yes,23,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$40.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment Fee,$29.00 ,When a payment is dishonored by the payee bank,Returned Payment Fee,$40.00 ,When a payment is dishonored by the payee bank within six months of the first returned payment fee,,,,,,,,,,,,,,,,,,,,Phone; Website,https://www.cfna.com,1 (800)321-3950,3/28/2023
KEYBANK NATIONAL ASSOCIATION,KeyBank Cashback Credit Card,Data as of December 31,Regional,,AK; CO; CT; ID; IN; ME; MA; MI; NH; NY; OH; OR; PA; UT; VT; WA,No,No,Geographic Restrictions Beyond Place of Residence,To originate an account online the client must reside in a state where Key has a branch location.,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,28.74%,25.24%,25.24%,21.74%,,28.74%,No,,,,,,,,,Yes,Yes,28.74%,25.24%,25.24%,21.74%,,28.74%,12,No,Yes,No,,,,28.74%,28.74%,28.74%,Yes,30,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$29.00 ,$40.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related),,Cashback rewards,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.key.com/personal/credit-cards/key-cashback-credit-card.html,1-800-539-2968,3/28/2023
HAWAIIUSA FEDERAL CREDIT UNION,Life Matters Cash Back Visa Credit Card,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719),No,,,,,,,,,,,,,,,F,,,,,,,,No,,,,,,,,,Yes,No,,,,20000.00%,2000.00%,16.90%,0,Yes,Yes,No,,,,8.00%,11.93%,16.90%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $25 and not to exceed the minimum payment due,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Extension on manufacturer’s warranty,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.hawaiiusafcu.com/Loans/Personal/Credit-Cards,1-800-379-1300,3/29/2023
WASHINGTON STATE EMPLOYEES CREDIT UNION,WSECU Low Rate,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,22.25%,15.00%,11.75%,10.75%,,22.25%,No,,,,,,,,,Yes,Yes,22.25%,15.00%,11.75%,10.75%,,22.25%,9,Yes,Yes,Yes,22.25%,15.00%,11.75%,10.75%,,22.25%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.50%,,,,,,,No,,,,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Other,Introductory 0% balance transfer offer for first 60 days.,,,Chip card; Fee-free foreign transactions,,Phone; Website,https://www.wsecu.org,800-562-0999,3/29/2023
ALTRA FEDERAL CREDIT UNION,NOW Non-Rewards Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,Yes,16.65%,14.65%,12.65%,12.65%,,16.65%,Yes,Yes,9.90%,7.90%,5.90%,5.90%,,9.90%,3,Yes,Yes,9.90%,7.90%,5.90%,5.90%,,9.90%,62,Yes,Yes,Yes,16.65%,14.65%,12.65%,12.65%,,16.65%,Yes,30,No,,Previous balance,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"$15 or 5%, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,Yes,Yes,Returned Payment Fee,$25.00 ,When there is a returned payment.,Card Replacement Fee,$5.00 ,"New plastic needed before reissue, and not due to fraud.",Statement/Document Copy Fee,$5.00 ,Replacement Statement/Document,Rush Fee,$15.00 ,Overnight delivery fee if a rush is requested.,Balance Transfer Stop Payment Fee,$25.00 ,If a stop payment is requested on a balance transfer.,,,,,,,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.altra.org,800-755-0055,3/30/2023
UTAH COMMUNITY FEDERAL CREDIT UNION,Low Rate Visa Credit Card,Data as of December 31,National,,,,No,Geographic Restrictions Beyond Place of Residence; Professional Affiliation; Other. Please Describe:,"Anyone who lives, worships, works (or regularly conducts business) in, or attends school in:

Salt Lake County
Utah County
Davis County
Weber County
Tooele County
Box Elder County
Summit County
Wasatch County
Sanpete County
Morgan County
Juab County
Anyon","Anyone who lives, worships, works (or regularly conducts business) in, or attends school in:

Salt Lake County
Utah County
Davis County
Weber County
Tooele County
Box Elder County
Summit County
Wasatch County
Sanpete County
Morgan County
Juab County
Anyon","Anyone who lives, worships, works (or regularly conducts business) in, or attends school in:

Salt Lake County
Utah County
Davis County
Weber County
Tooele County
Box Elder County
Summit County
Wasatch County
Sanpete County
Morgan County
Juab County
Anyon",No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,17.75%,14.50%,11.50%,11.25%,,18.00%,No,,,,,,,,,Yes,No,,,,11.25%,14.50%,18.00%,24,No,Yes,No,,,,18.00%,18.00%,18.00%,Yes,25,No,,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,Yes,1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?,$25.00 ,$25.00 ,,,,,,No,,,,,,,,Yes,No,Return Payment,$25.00 ,When a payment returns the fee is charged to compensate for return.,,,,,,,,,,,,,,,,,Debt cancellation coverage; Other,"Emergency card replacement, emergency cash disbursement, lost/stolen services.",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.uccu.com,1-800-453-8188,3/30/2023
"CITIBANK, N.A.",TSC Visa,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,30.49%,30.49%,30.49%,No,,,,,,,,,Yes,No,,,,30.49%,30.49%,30.49%,2,Yes,Yes,No,,,,29.99%,29.99%,29.99%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/RSnexgen/svc/launch/index.action?siteid=Plcn_TRACTORSUPPLY,,3/31/2023
"CITIBANK, N.A.",Bloomingdale's American Express Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,31.24%,31.24%,31.24%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,31.24%,31.24%,31.24%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment,$41.00 ,Up to $41,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/apply/bloomingdales-credit-card?app=UNSOL&siteId=PLCN_BLOOMINGDALES&langId=EN&sc=80202&cmp=A~E~V~Z~4~7~ZZZ0~CL~BL~ZZ,,3/31/2023
"CITIBANK, N.A.",Macy's American Express Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,31.24%,31.24%,31.24%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,31.24%,31.24%,31.24%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonline.com/apply/macys-credit-card?app=UNSOL&siteId=PLCN_MACYS&langId=EN&sc=80002&langId=EN&sc=80002&cmp=A~W~U~Z~4~7~ZZZ0~CL~MA~ZZ#,,3/31/2023
"CITIBANK, N.A.",Brooks Brothers Platinum Mastercard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,29.49%,29.49%,29.49%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,31.49%,31.49%,31.49%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $40,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://brooksbrothers.com/credit-card-apply.html,,3/31/2023
"CITIBANK, N.A.",Wayfair MasterCard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,31.49%,31.49%,31.49%,No,,,,,,,,,Yes,No,,,,31.49%,31.49%,31.49%,2,Yes,Yes,No,,,,29.99%,29.99%,29.99%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $40,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://wayfair.com/wayfaircard,,3/31/2023
"CITIBANK, N.A.",Shop Your Way Mastercard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,29.74%,29.74%,29.74%,No,,,,,,,,,Yes,No,,,,29.74%,29.74%,29.74%,2,Yes,Yes,No,,,,29.99%,29.99%,29.99%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $40,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Website,https://citiretailservices.citibankonlin.com/apply/shop-your-way-credit-card/,,3/31/2023
"CITIBANK, N.A.",My Best Buy Visa,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,30.74%,30.74%,30.74%,No,,,,,,,,,Yes,No,,,,30.74%,30.74%,30.74%,2,Yes,Yes,No,,,,29.99%,29.99%,29.99%,Yes,23,Yes,$1.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,No,,,,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Chip card,,Website,https://www.bestbuy.com/site/financing-rewards/my-best-buy-visa,,3/31/2023
"CITIBANK, N.A.",Meijer MasterCard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,29.49%,29.49%,29.49%,No,,,,,,,,,Yes,No,,,,29.49%,29.49%,29.49%,2,Yes,Yes,No,,,,29.99%,29.99%,29.99%,Yes,25,Yes,$2.00 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,up to $40,,,,,No,,,,,,,,Yes,No,Returned Payment,$40.00 ,Up to $40 for returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://Citiretailservices.citibankonlin.com/RSauth/,,3/31/2023
"CITIBANK, N.A.",LL Bean MasterCard,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,28.49%,23.49%,19.49%,19.49%,,28.49%,No,,,,,,,,,Yes,Yes,28.49%,23.49%,19.49%,19.49%,,29.49%,2,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $40,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$40.00 ,Up to $40 for returned payment,,,,,,,,,,,,,,,,,,,,,Chip card,,Website,https://www.llbean.com/llb/shop/514535?page=llbean-mastercard,,3/31/2023
"CITIBANK, N.A.",Citi Rewards Plus,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,27.99%,17.99%,23.99%,17.99%,,27.99%,Yes,No,,,,0.00%,0.00%,0.00%,8,Yes,No,,,,0.00%,0.00%,0.00%,8,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Other rewards,Citi ThankYou Rewards,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
"CITIBANK, N.A.",Citi Premier Card,Data as of December 31,National,,,,Yes,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,28.49%,24.49%,20.49%,20.49%,,28.49%,No,,,,,,,,,Yes,Yes,28.49%,24.49%,20.49%,20.49%,,28.49%,2,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,Annual,$95.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,No,,,,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Travel-related rewards; Other rewards,With the Citi Premier card you can earn ThankYou Points for purchases made on your card.,Fee-free foreign transactions,,Website,https://citi.com/credit-cards,,3/31/2023
"CITIBANK, N.A.",Citi DoubleCash,Data as of December 31,National,,,,No,,,,,No,Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,28.49%,23.49%,18.49%,18.49%,,28.49%,No,,,,,,,,,Yes,No,,,,0.00%,0.00%,0.00%,9,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for a returned payment,,,,,,,,,,,,,,,,,,,Cashback rewards,,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
"CITIBANK, N.A.",Citi CustomCash,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,28.49%,23.49%,18.49%,18.49%,,28.49%,Yes,No,,,,0.00%,0.00%,0.00%,8,Yes,No,,,,0.00%,0.00%,0.00%,8,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",,,Up to $41,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,Cashback rewards; Other rewards,Citi ThankYou Rewards,Chip card,,Website,https://citi.com/credit-cards/,,3/31/2023
"CITIBANK, N.A.",Citi Simplicity Card,Data as of December 31,National,,,,No,,,,,No,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,No,29.24%,23.80%,18.49%,18.49%,,29.24%,Yes,No,,,,0.00%,0.00%,0.00%,6,Yes,No,,,,0.00%,0.00%,0.00%,10,Yes,Yes,No,,,,29.74%,29.74%,29.74%,Yes,23,Yes,$0.50 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$5.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,No,,,,,,,,,No,,,,,,,,Yes,No,Returned Payment Fee,$41.00 ,Up to $41 for each returned payment,,,,,,,,,,,,,,,,,,,,,,,Website,https://citi.com/credit-cards,,3/31/2023
