,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
493,UNIVERSITY BANK,VISA Credit Card,,No,"""23""",V,999.0,14.5,10.5,No,999.0,999.0,999.0,,999.0,14.5,10.5,12.0,Yes,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$5.00 ,,,,,,No,,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,Yes,"2. If you charge overlimit fees that are not fixed dollar amounts, please explain what overlimit fees you charge here:",,Up to $25.00,,,,,Yes,Yes,Returned Payment Fee,$25.00 ,When a payment is returned as NSF.,Replacement Card Fee,$10.00 ,When a card is replaced due to being lost/stolen.,Additional Card Fee,$10.00 ,When more than two cards are requested on the account.,Duplicate Statement or Document Copy Fee,$5.00 ,When a duplicate statement or a copy of a document is requested.,Expedited Delivery Fee,$50.00 ,When the customer requests that their card be sent via expedited delivery/overnight.,,,,,Other,Travel accident insurance.,Travel-related rewards; Other rewards,"Reward points are redeemable for merchandise, gift cards, travel-related, and other items.",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.university-bank.com,1-800-368-7987,4/20/2023
497,MERRICK BANK CORPORATION,Secured Card,,Yes,"""1""",V,21.2,21.2,19.7,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,36.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,No,Return Payment Fee,$29.00 ,Charged when a payment is returned,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,,,Contactless Payments; Chip card,,Phone,,800-253-2322,4/21/2023
498,MERRICK BANK CORPORATION,Unsecured MPD40,,No,"""12""",V,29.95,27.95,20.95,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,48.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Return Payment Fee,$29.00 ,Charged when a payment is returned,Account Set-up Fee,$75.00 ,Charged at account opening based on consumer risk profile,Additional Card Fee,$12.00 ,Charged annually if cardholder adds an authorized user to the account,,,,,,,,,,,Access to Free Credit Scores,,Cashback rewards,,Contactless Payments; Chip card,,Phone,,800-253-2322,4/21/2023
499,MERRICK BANK CORPORATION,Unsecured MPD35,,No,"""12""",V,29.45,27.95,20.95,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,60.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,2.00%,,,,,,,29.0,40.0,No,,,,,,,,Yes,Yes,Return Payment Fee,$29.00 ,Charged when a payment is returned,Account Set-up Fee,$75.00 ,Charged at account opening based on consumer risk profile,Additional Card Fee,$12.00 ,Charged annually if cardholder adds an authorized user to the account,,,,,,,,,,,Access to Free Credit Scores,,Cashback rewards,,Contactless Payments; Chip card,,Phone,,800-253-2322,4/21/2023
500,MERRICK BANK CORPORATION,Orlando Magic,,No,"""123""",V,27.83,27.83,27.83,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,36.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,No,,,,,,,,,,29.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions,,Phone,,800-253-2322,4/21/2023
508,WHEATLAND BANK,Platinum Visa,WA,No,"""23""",V,999.0,20.24,19.24,Yes,999.0,0.0,0.0,6.0,999.0,0.0,0.0,6.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$10.00 ,4.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.00%,,,,,,,25.0,35.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Automobile rental insurance; Other,Purchase security; travel and emergency assistance; travel accident insurance; roadside dispatch,,,Chip card; Mobile wallet provisioning,,Phone; Website,https://www.wheatland.bank/credit-cards,8888962577,4/21/2023
510,PENNSYLVANIA STATE EMPLOYEES CU,Classic Visa,,No,"""3""",F,999.0,999.0,9.9,No,999.0,999.0,999.0,,999.0,999.0,2.9,12.0,No,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores,,,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.psecu.com/,800-237-7328,4/24/2023
511,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Wells Fargo Reflect Card,,No,"""23""",V,999.0,29.24,24.24,Yes,999.0,0.0,0.0,18.0,999.0,0.0,0.0,18.0,Yes,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Introductory fee of either $5 or 3% of the amount of each balance transfer, whichever is greater, for 120 days from account opening. After that, up to 5% for each balance transfer, with a minimum of $5.",,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5%  of the amount of each advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Cellular Telephone Protection
Emergency Cash Disbursement and Card Replacement
Auto Rental Collision Damage Waiver
Roadside Dispatch",,,Contactless Payments; Chip card; Mobile wallet provisioning; Other,"My Wells Fargo Deals
Zero Liability",Phone; Website,https://www.wellsfargo.com/credit-cards/reflect-visa/terms/?FPID=013000IEF40000&product_code=CC&subproduct_code=VV&cx_nm=CXNAME_CSMHP&BLTSPLT=1D1TZF&sub_channel=WEB&vendor_code=WF&_gl=1*1u7kgq0*_ga*MTAzMjMyMTcwMS4xNjc4MjAwMzMw*_ga_DN29FFQDMB*MTY4MDE4MzI1O,1-800-642-4720,4/24/2023
512,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Wells Fargo Active Cash Card,,No,"""23""",V,999.0,29.24,24.24,Yes,999.0,0.0,0.0,15.0,999.0,0.0,0.0,15.0,Yes,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Introductory fee of either $5 or 3% of the amount of each balance transfer, whichever is greater, for 120 days from account opening. After that, up to 5% for each balance transfer, with a minimum of $5.",,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5%  of the amount of each advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Cellular Telephone Protection
Emergency Cash Disbursement and Card Replacement
Auto Rental Collision Damage Waiver
Travel and Emergency Assistance Services
Roadside Dispatch®
Visa Signature® Concierge Services
Visa Signature® Luxury Hotel Collection",Cashback rewards; Travel-related rewards; Other rewards,"Pay with Rewards through PayPal
Gift Cards
Purchases
Merchandise",Contactless Payments; Chip card; Mobile wallet provisioning; Other,"My Wells Fargo Deals
Zero Liability",Phone; Website,https://www.wellsfargo.com/credit-cards/active-cash/terms/?FPID=012688IDF40000&product_code=CC&subproduct_code=AC&sub_channel=WEB&vendor_code=WF&cx_nm=CXNAME_CSMHP&BLTSPLT=3CYN15&_gl=1*vvq3yt*_ga*MTAzMjMyMTcwMS4xNjc4MjAwMzMw*_ga_DN29FFQDMB*MTY3OTk3NTE4Mi4,1-866-568-6521,4/24/2023
513,Comenity Capital Bank,Good Sam Rewards Visa,,No,"""23""",V,999.0,27.24,16.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,"If you make a payment that is not honored, we charge a Returned Payment Fee even if the payment is honored on resubmission. The fee is $30.00 if you were not charged a Returned Payment Fee in the same or the prior six billing periods. Otherwise, it is $41",Alternative Payment Method Fee,$15.00 ,"We may allow you to make an expedited payment over the phone. If you do, we may charge a fee. Currently, that fee is up to $15. We’ll let you know the current fee before you authorize any payment and you can withdraw your request if you don’t want to pay ",,,,,,,,,,,,,,Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Dovly Uplift, ID Navigator Powered by NortonLifeLock, Roadside Dispatch, Shipt same-day delivery, Sofar Sounds (live music), Travel & Emergency Assitance Services, Skillshare (online learning), Concierge, Lost Luggage Insurance, Price Protection",Other rewards,"5 points for every $1 spent at family of brands; 3 points for every $1 spent at private campgrounds and gas stations;  
1 point for every $1 spent everywhere else Visa is accepted; $10 rewards certificate for every 1,500 points earned; 6 month promotion",Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://d.comenity.net/ac/ikeavisa/public/credit-card-agreement,1-866-387-6145,4/25/2023
514,Comenity Capital Bank,Forever 21 Visa,,No,"""23""",V,999.0,27.99,26.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,"If you make a payment that is not honored, we charge a Returned Payment Fee even if the payment is honored on resubmission. The fee is $30.00 if you were not charged a Returned Payment Fee in the same or the prior six billing periods. Otherwise, it is $41",Alternative Payment Method Fee,$15.00 ,"We may allow you to make an expedited payment over the phone. If you do, we may charge a fee. Currently, that fee is up to $15. We’ll let you know the current fee before you authorize any payment and you can withdraw your request if you don’t want to pay ",,,,,,,,,,,,,,Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Dovly Uplift, ID Navigator Powered by NortonLifeLock, Roadside Dispatch, Shipt same-day delivery, Sofar Sounds (live music), Travel & Emergency Assitance Services, Skillshare (online learning), Concierge",Other rewards,20% off your first purchase the day you open & use your new credit card; 15% off Welcome offer when you receive your card in the mail; 3 points for every $1 spend on Forever 21 purchases; 2 points for every $1 spent on qualifying restaurant purchases; 1 p,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://d.comenity.net/ac/forever21visa/public/credit-card-agreement,1-866-412-5563,4/25/2023
515,Comenity Capital Bank,Bread Cashback American Express,,No,"""23""",V,999.0,29.24,24.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,"If you make a payment that is not honored, we charge a Returned Payment Fee even if the payment is honored on resubmission. The fee is 30 dollars if you were not charged a Returned Payment Fee in the same or the prior six billing periods. Otherwise, it is",Alternative Payment Method Fee,$15.00 ,"We may allow you to make an expedited payment over the phone. If you do, we may charge a fee. Currently, that fee is up to 15 dollars. We’ll let you know the current fee before you authorize any payment and you can withdraw your request if you don’t want ",,,,,,,,,,,,,,Automobile rental insurance; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Lost Luggage Insurance, RESY Dining Program, Pre-sale Ticketing for Entertainment, Emergency Assistance, Emergency Card Replacement, Limited Liability for ID Theft, Retail Protection, Hertz Discount, Avis Discount, Rentalcars.com Discount, Booking.com",Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://d.comenity.net/ac/breadcashback/public/credit-card-agreement,1-888-282-5154,4/25/2023
516,FIRST NATIONAL BANK,Legacy,,No,"""1""",F,29.9,29.9,29.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,75.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,No,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,No,,,,,,,,,,25.0,0.0,No,,,,,,,,Yes,Yes,Authorized User Fee,$20.00 ,annually (if you add an additional cardholder to your account),Returned Payment,$25.00 ,When a payment is returned.,,,,,,,,,,,,,,,,,,Chip card,,Phone,,1-888-883-9824,4/25/2023
517,FIRST SAVINGS BANK,Blaze,,No,"""1""",F,29.9,29.9,29.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,75.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?",,2.00%,,,,,,,No,,,,,,,,,,25.0,0.0,No,,,,,,,,Yes,Yes,Authorized User Fee,$20.00 ,annually (if you add an additional cardholder to your account),Returned Payment Fee,$25.00 ,What a payment is returned.,,,,,,,,,,,,,,,,,,Chip card,,Phone,,888-469-0291,4/25/2023
521,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Hotels.com Rewards Visa Signature,,No,"""23""",V,999.0,27.24,23.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$5.00 ,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5% of the amount of each advance, whichever is greater.",,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Travel and Emergency Assistance Services
Visa Signature® Concierge Services
Visa Signature® Luxury Hotel Collection
Emergency Cash Disbursement and Card Replacement
Auto Rental Collision Damage Waiver
Roadside Dispatch®
Trip Delay Reimbursement",Travel-related rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone,,1-877-209-2971,4/25/2023
522,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Hotels.com Rewards Visa,,No,"""23""",V,999.0,27.24,27.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$5.00 ,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5%  of the amount of each advance, whichever is greater.",,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Emergency Cash Disbursement and Card Replacement
Travel and Emergency Assistance Services
Auto Rental Collision Damage Waiver
Roadside Dispatch®
Trip Cancellation and Interruption Protection
$150,000.00 Worldwide Automatic Common Carrier Travel",Travel-related rewards,,Contactless Payments; Fee-free foreign transactions; Mobile wallet provisioning,,Phone,,1-877-209-2971,4/25/2023
523,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Dillard’s American Express,,No,"""23""",V,999.0,29.24,29.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 4% of the amount of each advance, whichever is greater.",,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Extension on manufacturer’s warranty; Other,"Cellular Telephone Protection
Purchase Security
Travel and Emergency Assistance Services",Other rewards,Dillard's Shopping Pass,Chip card; Mobile wallet provisioning; Other,Promotional Financing Options,Phone; Website,https://retailservices.wellsfargo.com/dillards/agreements.html,1-866-834-6294,4/25/2023
524,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Bilt World Elite Mastercard,,No,"""23""",V,999.0,28.49,23.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$5.00 ,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5% of the amount of each advance, whichever is greater.",,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Cellular Telephone Protection
Mastercard ID Theft Protection™
Purchase Security
Mastercard Global Service™
Concierge Service
Mastercard Travel and Lifestyle Services
Mastercard Airport Concierge™
Mastercard Golf
Auto Rental Collision Damage Waiver",Travel-related rewards; Other rewards,"BILT Points
Rent and Down Payment Credit
Fitness",Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.wellsfargo.com/credit-cards/bilt/terms/?product_code=CC&subproduct_code=EC&cx_nm=COBRAND_CSMHP&BLTSPLT=1D1TZF&sub_channel=WEB&vendor_code=WF&_gl=1*1raleuf*_ga*MTAzMjMyMTcwMS4xNjc4MjAwMzMw*_ga_DN29FFQDMB*MTY4MDUyODY4NC4xNi4wLjE2ODA1Mjg3MjguMC4w,1-833-404-2272,4/25/2023
525,"WELLS FARGO BANK, NATIONAL ASSOCIATION",Wells Fargo Autograph Card,,No,"""23""",V,999.0,29.24,24.24,Yes,999.0,0.0,0.0,12.4,999.0,999.0,999.0,,,Yes,25.0,Yes,$1.00 ,0.0,,,,,,,,No,,,,,,,,,,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Introductory fee of either $5 or 3% of the amount of each balance transfer, whichever is greater, for 120 days from account opening. After that, up to 5% for each balance transfer, with a minimum of $5.",,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,"Either $10 or 5% of the amount of each advance, whichever is greater.",,,,,No,,,,,,,,,,0.0,0.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,"Cellular Telephone Protection
Auto Rental Collision Damage Waiver
Emergency Cash Disbursement and Card Replacement
Roadside Dispatch®
Travel and Emergency Assistance Services
Visa Signature® Concierge Services
Visa Signature® Luxury Hotel Collection",Cashback rewards; Travel-related rewards; Other rewards,"Pay with Rewards through PayPal
Gift Cards
Purchases
Merchandise",Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning; Other,"My Wells Fargo Deals
Zero Liability",Phone; Website,https://www.wellsfargo.com/credit-cards/autograph-visa/terms/?FPID=012988I6P10000&product_code=CC&subproduct_code=AU&cx_nm=CXNAME_CSMHP&BLTSPLT=1D1TZF&sub_channel=WEB&vendor_code=WF&_gl=1*onjva9*_ga*MTAzMjMyMTcwMS4xNjc4MjAwMzMw*_ga_DN29FFQDMB*MTY4MDE4MzI1,1-866-229-6633,4/25/2023
526,"CAPITAL ONE, NATIONAL ASSOCIATION",REI Co-op Mastercard,,No,"""3""",V,999.0,999.0,22.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Automobile rental insurance; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Other rewards,Points,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.rei.com/membership/mastercard,800-903-9177,4/26/2023
527,"CAPITAL ONE, NATIONAL ASSOCIATION",Capital One Walmart Rewards Card,,No,"""123""",V,27.74,27.74,17.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,39.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Extension on manufacturer’s warranty; Other,This product also features benefits as offered by Mastercard.,Cashback rewards,,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/26/2023
528,"CAPITAL ONE, NATIONAL ASSOCIATION",Cabela's CLUB Card,,No,"""3""",V,999.0,999.0,18.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,This product also features benefits as offered by Mastercard.,Other rewards,Points,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,1-800-850-8402,4/26/2023
529,"CAPITAL ONE, NATIONAL ASSOCIATION",Bass Pro Shop's CLUB Card,,No,"""3""",V,999.0,999.0,18.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,This product also features benefits as offered by Mastercard.,Other rewards,Points,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,1-800-300-1723,4/26/2023
530,"CAPITAL ONE, NATIONAL ASSOCIATION",The Key Rewards Visa,,No,"""3""",V,999.0,999.0,999.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,3.00%,$3.00 ,,,,,,No,,,,,,,,,,0.0,40.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Discounts on purchases of goods and services (non travel related); Other,This product also features benefits as offered by Visa.,Other rewards,Points,Contactless Payments; Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.capitalone.com/credit-cards/,800-903-9177,4/26/2023
